lat_deg,lon_deg
33.59364315,73.14049515
33.59362829,73.14050649
33.59361358,73.14051829
33.59359896,73.14052963
33.59358437,73.14054093
33.59356862,73.14055655
33.59355429,73.14056786
33.59353940,73.14057815
33.59352929,73.14058046
33.59351355,73.14059173
33.59349899,73.14060338
33.59348454,73.14061428
33.59347033,73.14062519
33.59345591,73.14063652
33.59344125,73.14064809
33.59342651,73.14065906
33.59341232,73.14066982
33.59339767,73.14068106
33.59338308,73.14069191
33.59336864,73.14070321
33.59335400,73.14071382
33.59333908,73.14072511
33.59332438,73.14073587
33.59330996,73.14074611
33.59329533,73.14075679
33.59328064,73.14076788
33.59326599,73.14077853
33.59325146,73.14078873
33.59323641,73.14079955
33.59322171,73.14081038
33.59320764,73.14082121
33.59319274,73.14083193
33.59317745,73.14084309
33.59316262,73.14085442
33.59274170,73.14115227
33.59274591,73.14116133
33.59272985,73.14117346
33.59271356,73.14118558
33.59269733,73.14119783
33.59268108,73.14120978
33.59266506,73.14122173
33.59264902,73.14123378
33.59261324,73.14125704
33.59259753,73.14126892
33.59258184,73.14128051
33.59256573,73.14129228
33.59255009,73.14130374
33.59253417,73.14131530
33.59251834,73.14132700
33.59250261,73.14133827
33.59248673,73.14134959
33.59247105,73.14136101
33.59245489,73.14137261
33.59243885,73.14138427
33.59242276,73.14139557
33.59240680,73.14140710
33.59239071,73.14141850
33.59237473,73.14142956
33.59235865,73.14144079
33.59234255,73.14145186
33.59232635,73.14146307
33.59231007,73.14147405
33.59173378,73.14184650
33.59172402,73.14186217
33.59170710,73.14187161
33.59169010,73.14188098
33.59167340,73.14189048
33.59165674,73.14189971
33.59164006,73.14190896
33.59162282,73.14191826
33.59160568,73.14192753
33.59158852,73.14193679
33.59157177,73.14194621
33.59155483,73.14195590
33.59153780,73.14196548
33.59152107,73.14197513
33.59150405,73.14198490
33.59148692,73.14199484
33.59146572,73.14200063
33.59145110,73.14200815
33.59143410,73.14201789
33.59141715,73.14202764
33.59140002,73.14203759
33.59138294,73.14204724
33.59136599,73.14205719
33.59134902,73.14206707
33.59133211,73.14207675
33.59131495,73.14208663
33.59129794,73.14209645
33.59128090,73.14210648
33.59126409,73.14211662
33.59124716,73.14212668
33.59123024,73.14213662
33.59121320,73.14214669
33.59119628,73.14215680
33.59118455,73.14216921
33.59116704,73.14217982
33.59113311,73.14219941
33.59111571,73.14220948
33.59077854,73.14243375
33.59073841,73.14243641
33.59072069,73.14244745
33.59070451,73.14245822
33.59068858,73.14246920
33.59067267,73.14248041
33.59065700,73.14249125
33.59064113,73.14250227
33.59062541,73.14251317
33.59060968,73.14252438
33.59059368,73.14253533
33.59057823,73.14254633
33.59056257,73.14255748
33.59054686,73.14256867
33.59053120,73.14258004
33.59051555,73.14259145
33.59050006,73.14260282
33.59048441,73.14261404
33.59046597,73.14262241
33.59045380,73.14263169
33.59043857,73.14264287
33.59042308,73.14265420
33.59040765,73.14266533
33.59039213,73.14267648
33.59037674,73.14268786
33.59036129,73.14269902
33.59034610,73.14271024
33.59033082,73.14272138
33.59031547,73.14273249
33.59030008,73.14274387
33.59028500,73.14275520
33.59026964,73.14276651
33.59025441,73.14277774
33.59023945,73.14278887
33.59022409,73.14280020
33.59021554,73.14281416
33.59019983,73.14282557
33.59018484,73.14283704
33.59017039,73.14284814
33.59012987,73.14288563
33.59007080,73.14293714
33.58975126,73.14313165
33.58973722,73.14314469
33.58972295,73.14315799
33.58970893,73.14317098
33.58969470,73.14318337
33.58968034,73.14319603
33.58966575,73.14320844
33.58965140,73.14322101
33.58963680,73.14323334
33.58962252,73.14324568
33.58960831,73.14325811
33.58959403,73.14327028
33.58957935,73.14328232
33.58956297,73.14329256
33.58955408,73.14330680
33.58953919,73.14331855
33.58952445,73.14333049
33.58950946,73.14334223
33.58949464,73.14335359
33.58947969,73.14336537
33.58946481,73.14337701
33.58944989,73.14338859
33.58943513,73.14340041
33.58942061,73.14341194
33.58940586,73.14342347
33.58938981,73.14344013
33.58937485,73.14345190
33.58935245,73.14348170
33.58933778,73.14349334
33.58932203,73.14350515
33.58931623,73.14351355
33.58930161,73.14352533
33.58928710,73.14353605
33.58927301,73.14354757
33.58927214,73.14355226
33.58924233,73.14357575
33.58889077,73.14390684
33.58888340,73.14388293
33.58886784,73.14389325
33.58885314,73.14390617
33.58883702,73.14391621
33.58881975,73.14392505
33.58880525,73.14393895
33.58878601,73.14394907
33.58877064,73.14395854
33.58875584,73.14397121
33.58873704,73.14398056
33.58872219,73.14399038
33.58871000,73.14400486
33.58869463,73.14401675
33.58867623,73.14402732
33.58865253,73.14403514
33.58863806,73.14403711
33.58862440,73.14404799
33.58860814,73.14406020
33.58858305,73.14407247
33.58857718,73.14408456
33.58856153,73.14409564
33.58854490,73.14410760
33.58852978,73.14411826
33.58851528,73.14412910
33.58849911,73.14414102
33.58848377,73.14415366
33.58846777,73.14416582
33.58845181,73.14417791
33.58843630,73.14418979
