lat_deg,lon_deg
33.56988585,73.15793016
33.56986685,73.15794157
33.56984832,73.15795501
33.56982978,73.15796845
33.56981122,73.15798196
33.56979267,73.15799549
33.56977411,73.15800904
33.56975557,73.15802260
33.56973701,73.15803621
33.56971840,73.15804985
33.56969982,73.15806351
33.56968125,73.15807724
33.56966267,73.15809098
33.56964408,73.15810479
33.56962547,73.15811860
33.56960685,73.15813247
33.56958820,73.15814636
33.56956955,73.15816027
33.56955090,73.15817424
33.56953223,73.15818822
33.56951355,73.15820222
33.56949487,73.15821628
33.56947619,73.15823036
33.56945777,73.15824421
33.56943908,73.15825834
33.56942035,73.15827251
33.56940164,73.15828670
33.56938294,73.15830092
33.56936423,73.15831516
33.56934551,73.15832945
33.56932678,73.15834376
33.56930805,73.15835807
33.56929114,73.15836797
33.56927234,73.15838235
33.56925353,73.15839676
33.56923472,73.15841122
33.56921593,73.15842573
33.56919711,73.15844026
33.56917826,73.15845479
33.56915941,73.15846936
33.56914054,73.15848396
33.56912167,73.15849856
33.56910874,73.15850652
33.56908987,73.15852117
33.56907099,73.15853584
33.56905213,73.15855055
33.56903321,73.15856530
33.56901427,73.15858002
33.56899535,73.15859476
33.56897767,73.15861111
33.56895871,73.15862590
33.56893976,73.15864068
33.56892082,73.15865544
33.56890186,73.15867020
33.56888291,73.15868499
33.56886394,73.15869979
33.56884496,73.15871460
33.56882597,73.15872942
33.56880696,73.15874422
33.56878796,73.15875903
33.56876894,73.15877386
33.56874992,73.15878867
33.56873091,73.15880348
33.56871191,73.15881831
33.56869291,73.15883310
33.56867389,73.15884795
33.56865489,73.15886281
33.56863377,73.15888635
33.56861476,73.15890124
33.56859574,73.15891613
33.56857671,73.15893107
33.56855765,73.15894601
33.56853860,73.15896093
33.56852521,73.15898358
33.56850619,73.15899861
33.56848713,73.15901365
33.56846806,73.15902867
33.56844901,73.15904371
33.56842992,73.15905882
33.56841081,73.15907397
33.56839166,73.15908911
33.56837250,73.15910430
33.56835331,73.15911955
33.56833407,73.15913478
33.56831482,73.15915003
33.56829555,73.15916533
33.56827622,73.15918066
33.56825684,73.15919604
33.56823683,73.15920173
33.56821737,73.15921706
33.56819787,73.15923242
33.56817834,73.15924780
33.56815875,73.15926319
33.56813915,73.15927859
33.56811951,73.15929403
33.56809983,73.15930949
33.56808014,73.15932494
33.56806040,73.15934043
33.56804063,73.15935593
33.56802081,73.15937145
33.56800096,73.15938697
33.56798110,73.15940247
33.56796124,73.15941797
33.56794132,73.15943347
33.56792136,73.15944897
33.56790137,73.15946450
33.56788136,73.15948003
33.56786133,73.15949556
33.56784129,73.15951112
33.56782124,73.15952670
33.56780112,73.15954225
33.56778100,73.15955780
33.56776083,73.15957335
33.56774065,73.15958892
33.56772044,73.15960448
33.56770021,73.15962007
33.56767991,73.15963564
33.56765955,73.15965121
33.56763918,73.15966678
33.56761875,73.15968233
33.56759828,73.15969783
33.56757782,73.15971335
33.56755741,73.15972893
33.56753696,73.15974447
33.56751644,73.15976003
33.56749586,73.15977564
33.56747530,73.15979123
33.56745476,73.15980680
33.56743423,73.15982237
