utc,obssec,lat,long,altitude,vel_n(NED),vel_e(NED),vel_d(NED)
2026-02-06 11:19:57.419,472813.300000,33.598274400,73.138855940,434.302,-0.087307,-0.155701,-0.140882
2026-02-06 11:19:57.606,472813.500000,33.598272020,73.138857290,433.966,0.019212,0.145627,-0.163566
2026-02-06 11:19:57.750,472813.600000,33.598272240,73.138841610,434.533,-0.016838,-0.209843,0.247656
2026-02-06 11:19:57.797,472813.700000,33.598272010,73.138858330,433.952,-0.010171,0.013177,-0.254510
2026-02-06 11:19:57.925,472813.800000,33.598270160,73.138855090,434.242,0.118458,-0.053807,0.079396
2026-02-06 11:19:57.988,472813.900000,33.598269860,73.138855280,434.264,0.020136,-0.369670,0.302287
2026-02-06 11:19:58.152,472814.000000,33.598298030,73.138898500,427.914,-0.174652,-0.081431,-0.441094
2026-02-06 11:19:58.294,472814.200000,33.598269140,73.138848920,434.868,-0.007637,0.067323,-0.110916
2026-02-06 11:19:58.388,472814.300000,33.598266840,73.138847930,434.412,0.099641,-0.064037,-0.072511
2026-02-06 11:19:58.518,472814.400000,33.598267310,73.138849230,434.347,0.035631,-0.081042,0.140318
2026-02-06 11:19:58.688,472814.600000,33.598267110,73.138848120,434.247,0.173516,-0.300801,0.322488
2026-02-06 11:19:58.816,472814.700000,33.598267020,73.138850120,434.705,0.096163,0.080360,-0.210940
2026-02-06 11:19:58.923,472814.800000,33.598268460,73.138850280,434.285,-0.258518,-0.153243,0.004698
2026-02-06 11:19:59.069,472814.900000,33.598270050,73.138853850,434.243,-0.041001,-0.196508,0.207909
2026-02-06 11:19:59.240,472815.100000,33.598272880,73.138853050,433.814,-0.044613,-0.105508,-0.645540
2026-02-06 11:19:59.371,472815.200000,33.598273690,73.138852590,433.504,-0.012501,-0.158601,0.638944
2026-02-06 11:19:59.483,472815.300000,33.598275090,73.138850970,433.690,0.034172,-0.054463,0.230995
2026-02-06 11:19:59.626,472815.500000,33.598274570,73.138847010,433.680,-0.050662,-0.041337,-0.562427
2026-02-06 11:19:59.817,472815.700000,33.598276050,73.138852330,432.750,-0.072788,0.281088,-0.733468
2026-02-06 11:19:59.977,472815.900000,33.598277420,73.138861590,432.172,0.095257,0.071641,0.115130
2026-02-06 11:20:0.124,472816.000000,33.598275120,73.138860020,432.476,0.209404,0.450766,0.173284
2026-02-06 11:20:0.295,472816.200000,33.598274540,73.138863400,432.225,-0.015586,-0.175744,0.008430
2026-02-06 11:20:0.426,472816.300000,33.598274820,73.138863460,432.158,-0.109251,0.307966,-0.148394
2026-02-06 11:20:0.553,472816.400000,33.598274490,73.138865900,432.258,-0.064393,-0.116384,-0.264926
2026-02-06 11:20:0.685,472816.600000,33.598272780,73.138865780,432.803,-0.060720,0.020587,0.129169
