12:21.8,454360.8,33.60737085,73.13032588,461.491,0.105477,-0.169231,-0.065604
12:21.9,454360.9,33.60737286,73.13032444,460.895,0.220434,-0.145175,0.372565
12:22.0,454361,33.60737066,73.13032646,461.331,-0.150145,-0.368244,0.281568
12:25.8,454364.8,33.60737276,73.13033367,460.871,-0.209282,0.19158,-0.358058
12:26.0,454364.9,33.60737539,73.1303308,459.907,0.327103,0.037469,1.104685
12:26.0,454365,33.60737711,73.13032729,459.422,-0.195302,0.089346,-0.979302
12:26.1,454365.1,33.60737638,73.13032433,458.866,0.058221,-0.111726,0.295982
12:26.2,454365.2,33.60737631,73.13032353,458.571,-0.181887,-0.319919,-0.639708
12:26.3,454365.3,33.60738127,73.13032309,458.548,-0.271728,-0.217669,-0.976996
12:26.4,454365.4,33.60738134,73.13032362,458.605,-0.149966,-0.1191,-0.222513
12:26.5,454365.5,33.60738259,73.13032432,459.152,0.101368,0.029955,0.269508
12:26.6,454365.6,33.60738452,73.13032286,458.952,-0.098424,-0.109552,-0.194442
12:26.7,454365.7,33.60738295,73.13032267,458.646,-0.44535,-0.191644,-1.196248
12:26.8,454365.8,33.60738106,73.13032196,458.422,0.065271,-0.083486,0.076774
12:26.9,454365.9,33.60737696,73.13032488,459.778,0.196324,0.228859,0.16551
12:27.0,454366,33.60737539,73.13032671,460.117,-0.003406,-0.083692,0.518183
12:27.1,454366.1,33.60737412,73.13032617,460.494,-0.276557,0.189118,-1.029168
12:27.2,454366.2,33.60737598,73.13032597,460.852,0.098322,0.155622,-0.21751
12:27.3,454366.3,33.60737622,73.13032643,461.175,-0.231919,-0.182225,-0.746746
12:27.4,454366.4,33.60737482,73.1303272,461.848,0.127781,-0.008171,0.404931
12:27.5,454366.5,33.60737266,73.1303278,461.856,0.16918,-0.124984,0.115882
12:27.6,454366.6,33.60737504,73.13032297,460.498,0.346435,0.375077,1.130386
12:27.7,454366.7,33.60737397,73.13032635,460.812,-0.263045,-0.308082,-0.54235
12:27.8,454366.8,33.60737705,73.13032543,460.551,-0.319726,0.134709,-2.010945
12:27.9,454366.9,33.60737177,73.13032742,460.682,0.026455,-0.251072,0.456044
12:28.0,454367,33.60737168,73.13032838,461.024,-0.218717,-0.271149,-0.156455
